,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8342,FALSE POSITIVE,0,1,0,0,1.83592242,5.9942,30746.0,1.189,46.3,1501.0,1195.13,5930.0,4.472,0.976,1378.9
8344,CANDIDATE,0,0,0,0,128.208643,2.745,212.2,0.811,6.15,792.0,93.05,7128.0,3.52,3.811,8.9
8345,FALSE POSITIVE,0,0,1,0,1.516372183,1.239,93.8,0.596,1.06,1686.0,1911.54,6142.0,4.456,1.046,8.8
8346,FALSE POSITIVE,0,1,0,0,8.784575777,5.3022,262980.0,0.5,104.57,1555.0,1380.83,8144.0,4.139,1.914,4761.5
8347,FALSE POSITIVE,0,1,0,0,1.949700508,4.35014,38119.0,1.153,56.11,1716.0,2048.37,6469.0,4.385,1.193,2271.0
8348,FALSE POSITIVE,0,1,0,0,9.948701373,3.2922,2749.5,1.277,29.19,704.0,57.93,5152.0,4.517,0.786,103.1
8349,FALSE POSITIVE,0,1,0,0,3.457078812,5.24058,315520.0,0.317,86.12,1603.0,1560.4,6526.0,4.182,1.482,6009.0
8350,FALSE POSITIVE,0,1,0,0,3.735993484,17.4877,617990.0,0.993,571.07,2063.0,4283.18,5467.0,3.432,4.055,1587.7
8351,CANDIDATE,0,0,0,0,6.63448023,3.603,71.2,0.116,1.04,1177.0,453.27,6463.0,4.313,1.225,10.3
8352,FALSE POSITIVE,1,0,1,1,12.4239677,16.01,162.4,0.007,0.87,606.0,31.93,4995.0,4.58,0.698,12.8
8353,FALSE POSITIVE,0,1,0,0,0.639721284,2.69771,465920.0,0.404,46.59,1505.0,1220.53,4794.0,4.633,0.625,1012.9
8354,FALSE POSITIVE,0,0,0,1,1.25338826,3.828,44.7,0.469,0.64,1651.0,1750.61,5869.0,4.513,0.942,14.8
8355,CANDIDATE,0,0,0,0,1.002591901,1.247,143.2,0.312,0.87,1391.0,884.21,4893.0,4.574,0.739,11.1
8356,FALSE POSITIVE,0,1,0,0,1.620813697,5.9968,121320.0,0.636,43.95,1733.0,2127.67,5757.0,4.209,1.177,680.4
8357,CANDIDATE,0,0,0,0,3.37116682,4.708,71.4,0.318,0.98,1291.0,656.3,5653.0,4.288,1.163,9.8
8358,FALSE POSITIVE,0,1,1,1,5.2434664,18.47,119.4,1.016,2.83,831.0,113.05,5047.0,4.574,0.766,10.7
8359,FALSE POSITIVE,1,0,1,1,5.2439542,9.82,143.8,0.223,0.81,778.0,86.51,4920.0,4.636,0.691,14.2
8360,FALSE POSITIVE,0,0,0,1,5.2441517,9.69,90.1,0.557,0.91,1056.0,293.68,6060.0,4.509,0.925,10.5
8361,FALSE POSITIVE,0,0,1,1,5.2443332,11.268,29.9,0.775,0.58,1054.0,291.25,5952.0,4.489,0.971,13.5
8362,FALSE POSITIVE,0,1,0,0,20.726069913,6.47393,118860.0,0.989,51.9,657.0,43.93,6011.0,4.522,0.902,1216.8
8363,FALSE POSITIVE,1,0,0,1,0.566801447,2.352,16.2,0.615,0.57,2633.0,11321.32,5966.0,4.184,1.349,13.8
8364,FALSE POSITIVE,1,0,0,1,0.566794934,4.399,68.9,0.974,1.15,2457.0,8648.94,6395.0,4.436,1.049,21.7
8365,FALSE POSITIVE,1,0,1,1,0.566800287,3.487,73.9,0.648,0.88,2260.0,6188.18,6075.0,4.486,0.969,23.3
8366,FALSE POSITIVE,1,0,0,1,0.566791946,2.77,125.7,0.982,1.54,2160.0,5129.25,5836.0,4.5,0.97,14.1
8367,FALSE POSITIVE,1,0,1,1,0.566790294,3.641,64.0,0.393,0.89,2432.0,8244.38,6100.0,4.358,1.093,22.6
8368,FALSE POSITIVE,0,0,1,1,0.566799725,4.097,46.7,0.33,0.77,2289.0,6460.25,5576.0,4.297,1.132,12.5
8369,FALSE POSITIVE,1,0,0,1,0.566801325,4.176,92.1,0.77,1.07,2383.0,7585.82,6273.0,4.454,1.021,26.4
8370,FALSE POSITIVE,0,1,0,0,14.854415674,5.13753,77410.0,0.57,29.77,798.0,95.83,6214.0,4.444,1.022,2822.1
8371,FALSE POSITIVE,0,1,0,0,38.47674409,5.10744,173170.0,0.458,33.8,463.0,10.85,5294.0,4.507,0.79,3487.8
8372,FALSE POSITIVE,1,0,0,0,10.643110689,88.1118,316.3,1.179,31.72,1038.0,274.67,5930.0,4.084,1.473,153.7
8373,FALSE POSITIVE,0,1,0,0,1.587485742,7.7489,246570.0,0.259,41.52,1460.0,1070.86,5863.0,4.566,0.821,996.8
8374,CANDIDATE,0,0,0,0,6.613671,4.211,32.8,0.096,0.91,1266.0,607.33,6056.0,4.071,1.597,10.2
8375,FALSE POSITIVE,1,0,0,0,1.79621807,10.16,47.0,0.72,1.54,2480.0,8937.14,7117.0,3.988,2.09,42.0
8376,FALSE POSITIVE,1,0,0,0,20.2594232,19.27,82.6,0.707,1.23,837.0,116.05,6602.0,4.301,1.269,23.7
8377,CANDIDATE,0,0,0,0,1.48062814,2.898,62.5,0.479,0.76,1653.0,1770.63,6187.0,4.499,0.937,10.3
8378,FALSE POSITIVE,0,1,0,0,1.489442254,5.51392,417900.0,0.455,115.45,2328.0,6938.66,6962.0,4.148,1.62,2309.2
